epoch,kWh
1779143400,0.216
1779145200,0.208
1779147000,0.2
1779148800,0.176
1779150600,0.231
1779152400,0.177
1779154200,0.794
1779156000,0.175
1779157800,0.169
1779159600,1.27
1779161400,0.724
1779163200,0.302
1779165000,0.238
1779166800,0.204
1779168600,0.573
1779170400,0.494
1779172200,0.66
1779174000,0.212
1779175800,0.134
1779177600,0.114
1779179400,0.129
1779181200,0.152
1779183000,0.108
1779184800,0.291
1779186600,0.576
1779188400,0.3
1779190200,0.131
1779192000,0.667
1779193800,0.477
1779195600,0.067
1779197400,0.065
1779199200,0.512
1779201000,0.063
1779202800,0.07
1779204600,0.33
1779206400,0.303
1779208200,0.162
1779210000,0.111
1779211800,0.095
1779213600,0.092
1779215400,0.09
1779217200,0.115
1779219000,0.159
1779220800,0.217
1779222600,0.241
1779224400,0.202
1779226200,0.221
1779228000,0.247
1779229800,0.215
1779231600,0.224
1779233400,0.233
1779235200,0.344
1779237000,0.267
1779238800,0.237
1779240600,0.238
1779242400,0.251
1779244200,0.169
1779246000,0.146
1779247800,0.137
1779249600,0.103
1779251400,0.098
1779253200,0.126
1779255000,0.148
1779256800,0.147
1779258600,0.138
1779260400,0.131
1779262200,0.105
1779264000,0.102
1779265800,0.1
1779267600,0.676
1779269400,0.132
1779271200,0.13
1779273000,0.348
1779274800,0.75
1779276600,0.119
1779278400,0.206
1779280200,0.357
1779282000,1.852
1779283800,0.879
1779285600,0.122
1779287400,0.12
1779289200,0.409
1779291000,1.189
1779292800,1.009
1779294600,0.218
1779296400,0.547
1779298200,0.564
1779300000,0.125
1779301800,0.084
1779303600,0.096
1779305400,0.474
1779307200,0.703
1779309000,0.724
1779310800,0.288
1779312600,0.144
1779314400,0.519
1779316200,0.315
1779318000,0.111
1779319800,0.084
1779321600,0.095
1779323400,0.116
1779325200,0.114
1779327000,0.115
1779328800,0.114
1779330600,0.112
1779332400,0.082
1779334200,0.083
1779336000,0.058
1779337800,0.077
1779339600,0.094
1779341400,0.081
1779343200,0.076
1779345000,0.046
1779346800,0.043
1779348600,0.057
1779350400,0.213
1779352200,0.164
1779354000,0.149
1779355800,0.131
1779357600,0.141
1779359400,0.125
1779361200,0.096
1779363000,0.096
1779364800,0.123
1779366600,1.014
1779368400,0.609
1779370200,0.234
1779372000,0.734
1779373800,0.949
1779375600,1.349
1779377400,1.084
1779379200,0.658
1779381000,0.344
1779382800,0.304
1779384600,0.549
1779386400,1.678
1779388200,0.834
1779390000,0.704
1779391800,0.421
1779393600,0.735
1779395400,0.449
1779397200,0.248
1779399000,0.24
